0,1
2144.05,"Aller, In re, 220 F.2d 454, 105 USPQ 233 (CCPA 1955)"
2143.01,"Allied Erecting v. Genesis Attachments, 825 F.3d 1373, 119 USPQ2d 1132 (Fed. Cir. 2016)"
2141.02,"Allied Erecting v. Genesis Attachments, 825 F.3d 1373, 119 USPQ2d 1132 (Fed. Cir. 2016)"
2181,"AllVoice Computing PLC v. Nuance Commc’ns, Inc., 504 F.3d 1236, 84 USPQ2d 1886 (Fed. Cir. 2007)"
2138.04,"Alpert v. Slatin, 305 F.2d 891, 134 USPQ 296 (CCPA 1962)"
2184,"Al-Site Corp. v. VSI International Inc., 174 F.3d 1308, 50 USPQ2d 1161 (Fed. Cir. 1999)"
2183,"Al-Site Corp. v. VSI International Inc., 174 F.3d 1308, 50 USPQ2d 1161 (Fed. Cir. 1999)"
2181,"Al-Site Corp. v. VSI International Inc., 174 F.3d 1308, 50 USPQ2d 1161 (Fed. Cir. 1999)"
2143,"Altana Pharma AG v. Teva Pharm. USA, Inc., 566 F.3d 999, 91 USPQ2d 1018 (Fed. Cir. 2009)"
2181,"Altiris Inc. v. Symantec Corp., 318 F.3d 1363, 65 USPQ2d 1865 (Fed. Cir. 2003)"
2111.01,"Altiris Inc. v. Symantec Corp., 318 F.3d 1363, 65 USPQ2d 1865 (Fed. Cir. 2003)"
2164.05,"Alton, In re, 76 F.3d 1168, 37 USPQ2d 1578 (Fed. Cir. 1996)"
2163.06,"Alton, In re, 76 F.3d 1168, 37 USPQ2d 1578 (Fed. Cir. 1996)"
2163.04,"Alton, In re, 76 F.3d 1168, 37 USPQ2d 1578 (Fed. Cir. 1996)"
2163,"Alton, In re, 76 F.3d 1168, 37 USPQ2d 1578 (Fed. Cir. 1996)"
2145,"Alton, In re, 76 F.3d 1168, 37 USPQ2d 1578 (Fed. Cir. 1996)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
1490,"Altoona Publix Theatres v. American Tri-Ergon Corp., 294 U.S. 477, 24 USPQ 308 (1935)"
